text,0,1,2,3,4
Mabilis dumating ung package Nka bubble wrap sa labas at Loob nka cling wrap pa. super secure. Salamat po,0,0,0,0,1
Best purchase in Shopee. Sila pinakamura na Water goal tumbler Sana magkablue para bilhan ko jowa ko. Thank you seller! Safe na safe sa packaging,0,0,0,0,1
Worth it yung pag antay ng matagal super ganda yung products ng sale lady Mag oorder ako ulit soon ng iba pang product nila para matry ko lahat,0,0,1,0,0
Malakas po yung hangin nya especially maximum. Malaki po ang natutulong nito kasi lagi po akong nagmamadali. Madali lang syang makatuyo. Pasensya na po if photos not related.,0,0,0,0,1
"ang ganda, bili na po. Btw, may binebenta ako rechargable. Aatoys syang coin hehehe thankyou sa eider nad seller",0,0,0,0,1
"So disappointed on this. I ordered 15 PCS. PINK 15 PCS. BLUE. But unfortunately I received the wrong color, and it' s sad because the seller didn' t notify me. It' s kinda PALADESISYON po. Mauunawaan ko kung nagsabi si seller sana nakansel ko pa at nakaorder sa iba. Suggestion ko lang sana kausapin din si buyer kasi po importante po ang event kaya nga may color choices",1,0,0,0,0
Natuwa naman si Ate na cancer patient. Natuwa naman si Ate na cancer patient. Natuwa naman si Ate na cancer patient. Natuwa naman si Ate na cancer patient.,0,0,0,0,1
Maganda yung itsura nya pero napaka nipis ng tela as expected mura lang din naman kasi.,0,0,1,0,0
Iba yung isang damit na dumating kesa sa inorder ko,0,0,1,0,0
"3 stars dahil hindi nag chacharge yung iphone ko, ang kaya lang e charge ay yung speaker pang android lang pero pag iphone hindi nagchacharge.",0,0,1,0,0
Super nice ang item i will order again Sana di mabilis mabasag,0,0,0,0,1
"Dumating na yung order ko, first time ko umorder sa shop na to kaso may leak yung sa takip nya diko alam kung sa sorting station or sa mismong seller or sa curier. Maganda naman sya malaki, matagal ko na magagamit salamat po.",0,0,1,0,0
"Kulang naman ng isa yung na received ko ambilis nga dumating kulang naman i receive 7 items only, 8 yung order ko. Wala yung isang damit Na brown& black color. kulang ang nareceive ko!",0,1,0,0,0
"Ang liit pala. Large na nga inorder ko, liit pa rin. Tpos ung tatak na nike, tuklap na kaagad. Tiniklap ko n lmg ng ruluyan.",0,0,1,0,0
so dissapointed. dark grey ang order ko. bakt black ang dumating. lastime nagchat pa ako sa inyo na na dark grey ang order ko pakicheck ng ayos tapos black ang dumating. 3 star fir me hindi nasunod ang gusto kung kulay,0,0,1,0,0
natuwa na sana ko kasi mura lang bluetooth speaker. hindi naman ako nainform hindi pala sya nag chacharge haisstzz. epic lang. nagagamit lang sya pag nakasaksak charger pero pag tinanggal mona patay na speaker. hindi din nagsesend si seller ng pic. di tulad ng ibang store. first time ko mag order.,1,0,0,0,0
Bat Hindi umandar Ang cold nya Yung red lang umandar,0,1,0,0,0
"Sobrang ganda ng design, tela at fit sa akin ω･ ﾉ♡ Affordable na siya kasi sobrang ganda ng quality. Bibili ulit ako sa shop na ito, also maganda yung paglagyan ng damit parang shein and maayos yung packaging. Thank you",0,0,0,0,1
Mabilis siya malowbat 30% lang kaya nya ikarga sa phone ko malinis naman dumating maayos mabilis lang talaga malowbat.,0,1,0,0,0
Ok namn cia gumagana nmn mali lg yung kulay. Red inorder cu peru blue dumating. But thank you,0,0,0,0,1
Maganda nman sya! Nakaka- curl tlaga ng pilikmata Kahit sobrang tagal nyang dumating sken at yupi- yupi na ung box nya,0,0,0,0,1
"Mabilis lang na ship, maganda yung products and balot na balot kaya safe siyang nakarating thankyou seller sobrang worth it hehe",0,0,0,0,1
maganda lahat nang items kaso lang ang tagal shinip out ni seller ang mga costumer ko nag rereklamo na tapos ang iba kinancel na maganda sana ang mga item sa shop na ito,0,0,0,1,0
I am changing my rating because they gave me a damage unit. tumutulo ung blender and i am asking the seller to refund na lng but theyre keep on insisting na meet- up pero sa lucky chinatown mall pa e im from rizal pa kaya nga ako nag online kasi hindi ako pumupunta ng divisoria.,1,0,0,0,0
Walang kwenta itong item nato hinde gumana sira. please naman po. wag nman kayo mag padala ng sira na item kc binabayaran nmin yan. Kunsinsya nalang sa amin useless talaga.,1,0,0,0,0
napaka pangit at irresponsible ng pagkaka package nyo.,0,0,1,0,0
"ang pag ibig k sau ay parang tsikolet, habang tumatgal tumatamis. pero kapag i2 ay indi m n mahal para i2ng sampalok, maacim.",0,0,0,0,1
"maganda naman yung product, nag wo- work sya ng maayos pero ang outcome sa pagkagamit niya sa ibis paint ay parang sa kamay ko lang rin pala hehe no changes at saka mas better sana kung may takip rin yung isang tip, hindi lang yung may disk pero overall olay naman siya",0,0,0,1,0
Ayus nman. slmat sellerslmat din kay kuya rider na nagdeliver at khit gabi naslmat shopee,0,0,0,0,1
"thank you po seller! complete naman yung items and mabilis din na ship. the mic, goods naman yung quality. need lang saken ikabit sa audio splitter para mag work yung audio sa laptop ko.",0,0,0,1,0
Okay yung quality ng sponge cushion however nagkulang lang sa bubble wrap kaya siguro mejo ineffective yung lock suppostedly para sa harap ng box i just dont know kung sa stock ba siya mismo or sa pag deliver ng courier. Pa check nalang po next time.,0,0,0,1,0
"Basag salamin tsk tsk. paano ito, let’ s hope gumana",0,0,1,0,0
"sira yung item nung marecieve ko, nag request ako ng refund pero ayaw nyo gusto nyo kumuha pa ako ng courier para ibalik sa inyo, gagastos pa ulet ako sa pagbalik ng item, sa halagang 158 di nalang, thank you nalang po, sana wag matulad sa iba na sira ang nakuha",0,1,0,0,0
