text,label
"okay siya working naman sa phone and iPad ko, napipindot siya.",1
"Ang cute nya, at ang lakas NG sound thanks din Kay suking rider na apakabait",1
subra disapoint ako sayu seller 6na XXL order ko tapos 2pcs lang ang XXL para pang small ize ang 4pcs. hindi tuloy kinuha ng customer ko dahil subra liit. be pair naman pareha lng tayu mga negosyante huwag subra mandaya sa kapwa.i surely not order again.,0
"Maganda ang hitsura katulad ng nasa picture kaso, Ang dali maglowbat.it only took 2-3 hours at night.nit so reliable for long hours light.sorry.",0
"Maganda naman quality nya despite it's price. Tho hindi lang ganong secured yung packaging, buti na lang walang damage item at gumagana pa ng maayos lahat ng parts. Thank you! Will buy again next time!",1
Sakto lang. Kaso mukang manipis para sa price nya. Dont expect too much nalang guys,0
Nirecommend sa akin ito ni brother And yes nagustuhan ko tlg sya. Effective talaga this deo spray. Sobra kasi magpawis ang aking UA at medyo maasim pero pag na aaply ako nito nawawala ang pagkapawisin Ewan ko lang nshsa whitening. Mahlaga labg kasi for me yung mawala ang amoy at Sweat.,1
napakahaba naman at hindi maganda yung tela parang kapag nag squat or mag split ka mapupunit agad,0
Sobrang ganda ng quality di kayo mag sisisi pang gift ko Kase sa mister ko to kaya bumili ako grabe kung ano nasa pic ganun din sa personal thankyou seller,1
Wala po yung free na naka indicate sa picture. Ang saklap,0
"Poor Packaging. Di pa na aadjust yung echo ng Mic, kapag Full Yung Volume basag na yung tunog.",0
Sobrang tagal dumating but worthy item,1
Thanks poh shoope dito na poh order ko maganda poh ang item gstong gsto ko,1
"Kung keeper collector ka, di mo magugustuhan yung packaging nila. Naka-bubble wrapped lang siya. So kung bibili ako nung Yassi edition, ganoon rin ang pagpa-pack niyo? Bibigyan ko kayo ng 1 start kapag nangyari yun. Anyways, ito gagamitin ko naman kaya wala sa akin yung dents sa karton. Pero minus 1 star pa rin kayo as a warning. Thank you.",1
Maganda naman yung products kaso nakakaasar lang kase lahat ng pinala medium. Sana next time check nyo mabuti bago nyo I ship out yung products nyo.,0
Gaganda.akala ko medyo malaki.maliit pala ang cute tapos solar pa nag try lang ako.umaandar naman yung apat.will order again matic siya sa liwanag walang lights kapag dark.meron siyang lights.May on and off option pa.waterproof naman siguro kc sa garden ko ilalagay,1
"Hindi maganda sira yong speaker,sayang lang pera ko",0
Bilis dumating and sobrang ganda ng packaging. Thanks,1
Nipis daming tastas sir! Tagal pa dumating.,0
Ok naman sya maayos kaya lang manipis pala ang tela nya anyway thankyou seller,0
Mabilis lng magcharge.ang kaso lng mabilis din malowbat,0
Super Cute ng speaker.Gustong-gusto sya ng anak ko!Super thanks to the seller kasi sinigurado nya talagang Ung color ng speaker na gusto ko Ung maidedeliver.THANK YOU SO MUCH!,1
"Wowww ang bilis andto na po.thank you thank you po,ang mura sa halagang 148 may 48 pcs ng batery para sa toy ng baby ko.order ulit ako kapag maubos to.godbless po.",1
Ok nmn sya tuwang tuwa mother in law ko hehe,1
